kernelversion,contributor,value,Percentage
From Apr. 16 2005,Cirrus Logic,2102,0.16
From Apr. 16 2005,Movial,2028,0.15
From Apr. 16 2005,Loongson,1982,0.15
From Apr. 16 2005,Netronome,1737,0.13
From Apr. 16 2005,ACM,1735,0.13
From Apr. 16 2005,XILINX,1688,0.13
From Apr. 16 2005,Chelsio,1684,0.13
From Apr. 16 2005,Emulex,1621,0.12
From Apr. 16 2005,MEV Limited,1602,0.12
From Apr. 16 2005,Ingics Technology,1583,0.12
From Apr. 16 2005,vivo,1567,0.12
From Apr. 16 2005,VMWare,1531,0.11
From Apr. 16 2005,Solarflare Communications,1525,0.11
From Apr. 16 2005,Amazon,1503,0.11
From Apr. 16 2005,"Rowland Institute, Harvard",1412,0.11
From Apr. 16 2005,OpenWrt,1364,0.1
From Apr. 16 2005,Primary Data,1350,0.1
From Apr. 16 2005,ZTE,1334,0.1
From Apr. 16 2005,LinBit,1329,0.1
From Apr. 16 2005,SIMTEC,1312,0.1
From Apr. 16 2005,Tencent,1229,0.09
From Apr. 16 2005,ByteDance,1223,0.09
From Apr. 16 2005,Cogent Embedded,1209,0.09
From Apr. 16 2005,Unisys,1180,0.09
From Apr. 16 2005,ST-Ericsson,1138,0.09
From Apr. 16 2005,igalia,1054,0.08
From Apr. 16 2005,Motorola,1051,0.08
From Apr. 16 2005,Vyatta,1032,0.08
From Apr. 16 2005,Glider bvba,1021,0.08
From Apr. 16 2005,Trend Micro,1014,0.08
From Apr. 16 2005,Tieto,981,0.07
From Apr. 16 2005,AXIS,972,0.07
From Apr. 16 2005,Inktank,905,0.07
From Apr. 16 2005,General Electric,869,0.06
From Apr. 16 2005,XS4ALL Internet bv,862,0.06
From Apr. 16 2005,Fixstars Technologies,856,0.06
From Apr. 16 2005,LG Electonics,843,0.06
From Apr. 16 2005,Cumulus Networks,813,0.06
From Apr. 16 2005,Siemens,803,0.06
From Apr. 16 2005,Cadence Design Systems,798,0.06
From Apr. 16 2005,LSI,768,0.06
From Apr. 16 2005,Synaptics,751,0.06
From Apr. 16 2005,NEC,749,0.06
From Apr. 16 2005,CTERA Networks,719,0.05
From Apr. 16 2005,Savoir-faire Linux,683,0.05
From Apr. 16 2005,SONY,676,0.05
From Apr. 16 2005,New Dream Network,668,0.05
From Apr. 16 2005,RisingTide Systems,622,0.05
From Apr. 16 2005,LWN,617,0.05
From Apr. 16 2005,Amarula Solutions,605,0.05
From Apr. 16 2005,Lundinova AB,596,0.04
From Apr. 16 2005,OPPO,590,0.04
From Apr. 16 2005,Secret Lab,584,0.04
From Apr. 16 2005,Hitachi,570,0.04
From Apr. 16 2005,Codethink,549,0.04
From Apr. 16 2005,PetaLogix,545,0.04
From Apr. 16 2005,USAGI,541,0.04
From Apr. 16 2005,Silicon Labs,536,0.04
From Apr. 16 2005,Mandriva,524,0.04
From Apr. 16 2005,China Mobile,516,0.04
From Apr. 16 2005,Baidu,513,0.04
From Apr. 16 2005,Wave Computing,492,0.04
From Apr. 16 2005,Toshiba Computer,491,0.04
From Apr. 16 2005,Open Grid Computing,486,0.04
From Apr. 16 2005,Fusion-io,480,0.04
From Apr. 16 2005,WolfVision GmbH,473,0.04
From Apr. 16 2005,Altera,472,0.04
From Apr. 16 2005,Panasas,471,0.04
From Apr. 16 2005,Hewlett Packard Enterprise,462,0.03
From Apr. 16 2005,Bitinfotech,455,0.03
From Apr. 16 2005,CSR,452,0.03
From Apr. 16 2005,CC Computer Consultants,451,0.03
From Apr. 16 2005,6WIND,435,0.03
From Apr. 16 2005,VA LINUX,434,0.03
From Apr. 16 2005,Allied Telesis,424,0.03
From Apr. 16 2005,secunet Security Networks AG,418,0.03
From Apr. 16 2005,Wacom,415,0.03
From Apr. 16 2005,CompuLab,407,0.03
From Apr. 16 2005,INRIA,406,0.03
From Apr. 16 2005,Applied Micro,405,0.03
From Apr. 16 2005,Calxeda,393,0.03
From Apr. 16 2005,Tilera,383,0.03
From Apr. 16 2005,Cozybit,379,0.03
From Apr. 16 2005,Brocade,377,0.03
From Apr. 16 2005,Tk Open Systems,374,0.03
From Apr. 16 2005,Mentor Graphics,368,0.03
From Apr. 16 2005,Nicira Networks,367,0.03
From Apr. 16 2005,UnionTech,361,0.03
From Apr. 16 2005,Symantec,351,0.03
From Apr. 16 2005,Openwall,337,0.03
From Apr. 16 2005,NFSChina,335,0.03
From Apr. 16 2005,ProFUSION,332,0.02
From Apr. 16 2005,PHYTEC,321,0.02
From Apr. 16 2005,EfficiOS Inc.,309,0.02
From Apr. 16 2005,Cosmosbay~Vectis,301,0.02
From Apr. 16 2005,OMICRON electronics,300,0.02
From Apr. 16 2005,Apple,298,0.02
From Apr. 16 2005,Embedded Alley Solutions,297,0.02
From Apr. 16 2005,SteelEye,291,0.02
From Apr. 16 2005,Coolpad,287,0.02
From Apr. 16 2005,Qtechnology,281,0.02
From Apr. 16 2005,Hansen Partnership,276,0.02
From Apr. 16 2005,Candela Tech.,275,0.02
From Apr. 16 2005,EXOSEC,275,0.02
From Apr. 16 2005,Toshiba,273,0.02
From Apr. 16 2005,Inspur,272,0.02
From Apr. 16 2005,Miracle Linux,271,0.02
From Apr. 16 2005,OSADL,268,0.02
From Apr. 16 2005,caiaq,267,0.02
From Apr. 16 2005,Tuxera,265,0.02
From Apr. 16 2005,Golden Delicious Computers,262,0.02
From Apr. 16 2005,Tripeaks,261,0.02
From Apr. 16 2005,Volkswagen,260,0.02
From Apr. 16 2005,Nuvoton Technology,259,0.02
From Apr. 16 2005,Dialog Semiconductor,259,0.02
From Apr. 16 2005,Bull SAS,254,0.02
From Apr. 16 2005,STRATO,248,0.02
From Apr. 16 2005,Semihalf Embedded Systems,246,0.02
From Apr. 16 2005,DELL,245,0.02
From Apr. 16 2005,Myricom,236,0.02
From Apr. 16 2005,P.A. Semi,231,0.02
From Apr. 16 2005,Avionic Design Development GmbH,228,0.02
From Apr. 16 2005,Datera,228,0.02
From Apr. 16 2005,OpenedHand,226,0.02
From Apr. 16 2005,Micron,226,0.02
From Apr. 16 2005,US National Security Agency,221,0.02
From Apr. 16 2005,rPath,220,0.02
From Apr. 16 2005,M&N Solutions,213,0.02
From Apr. 16 2005,ROHM Semiconductors,208,0.02
From Apr. 16 2005,National Instruments,201,0.02
From Apr. 16 2005,KFKI Research Institute,199,0.01
From Apr. 16 2005,KARO,196,0.01
From Apr. 16 2005,AMA Capital,195,0.01
From Apr. 16 2005,Bitmer,194,0.01
From Apr. 16 2005,Animal Creek Technologies,193,0.01
From Apr. 16 2005,Katalix Systems,188,0.01
From Apr. 16 2005,Hauppauge,188,0.01
From Apr. 16 2005,Eukrea Electromatique,187,0.01
From Apr. 16 2005,ALT Linux,184,0.01
From Apr. 16 2005,EXAR,184,0.01
From Apr. 16 2005,Voltaire,180,0.01
From Apr. 16 2005,Akamai,179,0.01
From Apr. 16 2005,Philosys Software,179,0.01
From Apr. 16 2005,Asianux,179,0.01
From Apr. 16 2005,SANPeople,178,0.01
From Apr. 16 2005,Plumgrid,176,0.01
From Apr. 16 2005,Xiaomi,175,0.01
From Apr. 16 2005,IDT,172,0.01
From Apr. 16 2005,MathEmbedded Consulting,171,0.01
From Apr. 16 2005,Freebox,168,0.01
From Apr. 16 2005,Open Nandra,166,0.01
From Apr. 16 2005,Cypress Semiconductor,166,0.01
From Apr. 16 2005,Gaisler Research,165,0.01
From Apr. 16 2005,Boundary Devices,164,0.01
From Apr. 16 2005,VanguardiaSur,161,0.01
From Apr. 16 2005,Real-Time Remedies,156,0.01
From Apr. 16 2005,PMC-Sierra,154,0.01
From Apr. 16 2005,EMC,150,0.01
From Apr. 16 2005,Digi International,150,0.01
From Apr. 16 2005,Obsidian Research,150,0.01
From Apr. 16 2005,Barco,145,0.01
From Apr. 16 2005,Open-Mesh,142,0.01
From Apr. 16 2005,Etersoft,140,0.01
From Apr. 16 2005,GNU,134,0.01
From Apr. 16 2005,Coraid,133,0.01
From Apr. 16 2005,emlix Gmbh,129,0.01
From Apr. 16 2005,ENAC,129,0.01
From Apr. 16 2005,protonic holland,129,0.01
From Apr. 16 2005,MSC Vertriebs GmbH,125,0.01
From Apr. 16 2005,Solid Boot,125,0.01
From Apr. 16 2005,Lenovo,123,0.01
From Apr. 16 2005,Panasonic,120,0.01
From Apr. 16 2005,"VIA Technologies, Inc.",120,0.01
From Apr. 16 2005,Vodafone,117,0.01
From Apr. 16 2005,OKI SEMICONDUCTOR,114,0.01
From Apr. 16 2005,Ksplice,111,0.01
From Apr. 16 2005,Extreme Engineering Solutions,109,0.01
From Apr. 16 2005,"Vista-Silicon, S.L.",109,0.01
From Apr. 16 2005,South Pole AB,108,0.01
From Apr. 16 2005,EZchip Technologies,108,0.01
From Apr. 16 2005,Overkiz,106,0.01
From Apr. 16 2005,DreamHost,102,0.01
From Apr. 16 2005,Adaptec,101,0.01
From Apr. 16 2005,Areca,101,0.01
From Apr. 16 2005,Eleven Musicproduction,100,0.01
From Apr. 16 2005,AudioScience,99,0.01
From Apr. 16 2005,Infineon Technologies AG,98,0.01
From Apr. 16 2005,SYS TEC electronic GmbH,97,0.01
From Apr. 16 2005,Vision Systems,95,0.01
From Apr. 16 2005,Selenic Consulting,94,0.01
From Apr. 16 2005,NetUP Inc.,94,0.01
From Apr. 16 2005,ARMadeus Systems,93,0.01
From Apr. 16 2005,Paratronic,93,0.01
From Apr. 16 2005,Alcatel-Lucent,92,0.01
From Apr. 16 2005,Fraunhofer FOKUS,91,0.01
From Apr. 16 2005,Holoscopio Tech.,90,0.01
From Apr. 16 2005,CISCO,89,0.01
From Apr. 16 2005,SYSGO,86,0.01
From Apr. 16 2005,OLPC,85,0.01
From Apr. 16 2005,Shopee,85,0.01
From Apr. 16 2005,CERN,83,0.01
From Apr. 16 2005,Tower Technologies,81,0.01
From Apr. 16 2005,PARROT S.A.,80,0.01
From Apr. 16 2005,China Telecom,80,0.01
From Apr. 16 2005,Telargo,79,0.01
From Apr. 16 2005,Cybernetics,77,0.01
From Apr. 16 2005,Transmode Systems,77,0.01
From Apr. 16 2005,PEAK-System,77,0.01
From Apr. 16 2005,Bosch,76,0.01
From Apr. 16 2005,Tensilica,75,0.01
From Apr. 16 2005,Kedacom,75,0.01
From Apr. 16 2005,Timesys,73,0.01
From Apr. 16 2005,Macq Electronique,73,0.01
From Apr. 16 2005,BMW,72,0.01
From Apr. 16 2005,Cray,70,0.01
From Apr. 16 2005,SMSC,70,0.01
From Apr. 16 2005,ARISTA,69,0.01
From Apr. 16 2005,Microgate,68,0.01
From Apr. 16 2005,KEYMILE,68,0.01
From Apr. 16 2005,Infor,67,0.01
From Apr. 16 2005,University of Queensland,67,0.01
From Apr. 16 2005,Sensoray,67,0.01
From Apr. 16 2005,IXIA,66,0.0
From Apr. 16 2005,SlimLogic Ltd,66,0.0
From Apr. 16 2005,I.T.Dev,66,0.0
From Apr. 16 2005,Stratus Technologies,65,0.0
From Apr. 16 2005,Teltonika,65,0.0
From Apr. 16 2005,Green Turtles Technologies,65,0.0
From Apr. 16 2005,CodeSourcery,64,0.0
From Apr. 16 2005,Corscience GmbH & Co.,63,0.0
From Apr. 16 2005,Zoho,63,0.0
From Apr. 16 2005,lemonage software,62,0.0
From Apr. 16 2005,MCST,61,0.0
From Apr. 16 2005,OPTEYA,60,0.0
From Apr. 16 2005,Xyratex,59,0.0
From Apr. 16 2005,Tungsten Graphics,58,0.0
From Apr. 16 2005,Neratec Solutions AG,58,0.0
From Apr. 16 2005,Virtual Open Systems,55,0.0
From Apr. 16 2005,NetLogic Microsystems,54,0.0
From Apr. 16 2005,U.S. Naval Research Laboratory,53,0.0
From Apr. 16 2005,GridApp Systems,53,0.0
From Apr. 16 2005,Verismo,52,0.0
From Apr. 16 2005,OpenMoko,52,0.0
From Apr. 16 2005,Actions Microelectronics,52,0.0
From Apr. 16 2005,Substantiel,51,0.0
From Apr. 16 2005,ESD Electronics,50,0.0
From Apr. 16 2005,Shawell,50,0.0
From Apr. 16 2005,DiBcom,49,0.0
From Apr. 16 2005,Teleca,48,0.0
From Apr. 16 2005,Siano Mobile Silicon,48,0.0
From Apr. 16 2005,EFJohnson Technologies,48,0.0
From Apr. 16 2005,KPIT Cummins,48,0.0
From Apr. 16 2005,EmCraft Systems,47,0.0
From Apr. 16 2005,Sierra Wireless,47,0.0
From Apr. 16 2005,PIKA Technologies,46,0.0
From Apr. 16 2005,AbsoluteValue Systems,46,0.0
From Apr. 16 2005,PiKRON s.r.o,45,0.0
From Apr. 16 2005,Bluewater Systems,45,0.0
From Apr. 16 2005,Digital Design,45,0.0
From Apr. 16 2005,Los Alamos National Laboratory,43,0.0
From Apr. 16 2005,NSYSU,43,0.0
From Apr. 16 2005,IVITERA a.s.,43,0.0
From Apr. 16 2005,VSR,43,0.0
From Apr. 16 2005,Avocent,42,0.0
From Apr. 16 2005,ComX Networks,42,0.0
From Apr. 16 2005,Pardus Linux,41,0.0
From Apr. 16 2005,"Science Horizons, Inc.",41,0.0
From Apr. 16 2005,Promise Technology,40,0.0
From Apr. 16 2005,O.S. Systems Software Ltda.,40,0.0
From Apr. 16 2005,Studio EnneEnne,39,0.0
From Apr. 16 2005,Signal 11,39,0.0
From Apr. 16 2005,MEN Mikro Elektronik GmbH,39,0.0
From Apr. 16 2005,BalaBit,38,0.0
From Apr. 16 2005,Critical Links,38,0.0
From Apr. 16 2005,ISEE,38,0.0
From Apr. 16 2005,Mesh Coding,38,0.0
From Apr. 16 2005,Stream Processors,37,0.0
From Apr. 16 2005,Entropy Wave,37,0.0
From Apr. 16 2005,Juniper Networks,37,0.0
From Apr. 16 2005,Bluecherry,36,0.0
From Apr. 16 2005,Wipro,36,0.0
From Apr. 16 2005,NewsGuy,36,0.0
From Apr. 16 2005,RivieraWaves,36,0.0
From Apr. 16 2005,Crash Barrier,35,0.0
From Apr. 16 2005,Option,35,0.0
From Apr. 16 2005,QuanTa,35,0.0
From Apr. 16 2005,EMAC,35,0.0
From Apr. 16 2005,IPUnity-Glenayre,34,0.0
From Apr. 16 2005,SiS,34,0.0
From Apr. 16 2005,NetEffect,34,0.0
From Apr. 16 2005,Micronova,34,0.0
From Apr. 16 2005,Nanometrics,34,0.0
From Apr. 16 2005,Trusted Computer Solutions,33,0.0
From Apr. 16 2005,FastMail.FM,32,0.0
From Apr. 16 2005,UNICUS,32,0.0
From Apr. 16 2005,ENEA AB,31,0.0
From Apr. 16 2005,Aculab Plc.,31,0.0
From Apr. 16 2005,Pelagicore AB,31,0.0
From Apr. 16 2005,Gentoo,31,0.0
From Apr. 16 2005,Ozmo,31,0.0
From Apr. 16 2005,GlobalLogic,31,0.0
From Apr. 16 2005,MaxLinear,31,0.0
From Apr. 16 2005,LaCie,30,0.0
From Apr. 16 2005,Nixu Oy,30,0.0
From Apr. 16 2005,Aava Mobile,30,0.0
From Apr. 16 2005,Boeing,29,0.0
From Apr. 16 2005,RiverBed,29,0.0
From Apr. 16 2005,INL,28,0.0
From Apr. 16 2005,Micro-Star International,28,0.0
From Apr. 16 2005,Net Insight AB,28,0.0
From Apr. 16 2005,Plugable,28,0.0
From Apr. 16 2005,Matrox,28,0.0
From Apr. 16 2005,Numascale,28,0.0
From Apr. 16 2005,Spectralink,28,0.0
From Apr. 16 2005,Artec Design,27,0.0
From Apr. 16 2005,Concurrent Computer Corporation,27,0.0
From Apr. 16 2005,B1 Systems,27,0.0
From Apr. 16 2005,Wabtec,26,0.0
From Apr. 16 2005,Parkeon,26,0.0
From Apr. 16 2005,NameSys,25,0.0
From Apr. 16 2005,EuroTech Inc,25,0.0
From Apr. 16 2005,RuggedCom,25,0.0
From Apr. 16 2005,Einfochips,25,0.0
From Apr. 16 2005,Semaphore,24,0.0
From Apr. 16 2005,Oak Ridge National Laboratory,24,0.0
From Apr. 16 2005,Orcon Internet,24,0.0
From Apr. 16 2005,Lapis Semiconductor,24,0.0
From Apr. 16 2005,Mocean Labs,23,0.0
From Apr. 16 2005,RidgeRun,23,0.0
From Apr. 16 2005,StreamUnlimited,23,0.0
From Apr. 16 2005,Intra2net AG,23,0.0
From Apr. 16 2005,Tonian Systems Inc.,23,0.0
From Apr. 16 2005,Saunalahti.fi,23,0.0
From Apr. 16 2005,Shadow Connect,22,0.0
From Apr. 16 2005,Cecropia,22,0.0
From Apr. 16 2005,Evidence Srl,22,0.0
From Apr. 16 2005,Traverse Technologies,22,0.0
From Apr. 16 2005,Open Kernel Labs,22,0.0
From Apr. 16 2005,Traphandler,22,0.0
From Apr. 16 2005,ONELAN,21,0.0
From Apr. 16 2005,HES-SO Valais Wallis,21,0.0
From Apr. 16 2005,London Internet Exchange,21,0.0
From Apr. 16 2005,Bluegiga,21,0.0
From Apr. 16 2005,Creative Technology,21,0.0
From Apr. 16 2005,USI,21,0.0
From Apr. 16 2005,Whamcloud Inc.,21,0.0
From Apr. 16 2005,SIGMA Chemnitz,20,0.0
From Apr. 16 2005,Elliptic Technologies,20,0.0
From Apr. 16 2005,NIIF Institute,20,0.0
From Apr. 16 2005,Logic Supply,20,0.0
From Apr. 16 2005,Viprinet,20,0.0
From Apr. 16 2005,FC-Group,19,0.0
From Apr. 16 2005,vpop.net,19,0.0
From Apr. 16 2005,Shiny Srl,19,0.0
From Apr. 16 2005,Basler Vision Technologies,19,0.0
From Apr. 16 2005,Rockwell,19,0.0
From Apr. 16 2005,Endrelia,19,0.0
From Apr. 16 2005,Nias Digital,19,0.0
From Apr. 16 2005,Kerlabs,19,0.0
From Apr. 16 2005,Elektro Bit,19,0.0
From Apr. 16 2005,bct electronic,19,0.0
From Apr. 16 2005,ADVANSEE SARL,19,0.0
From Apr. 16 2005,KYMA,19,0.0
From Apr. 16 2005,DDN Storage,19,0.0
From Apr. 16 2005,SmartX,19,0.0
From Apr. 16 2005,Nucleus Systems,18,0.0
From Apr. 16 2005,Connect Tech.,18,0.0
From Apr. 16 2005,Wytron Technology,18,0.0
From Apr. 16 2005,DTI2,17,0.0
From Apr. 16 2005,SofaWare,17,0.0
From Apr. 16 2005,Mistral,17,0.0
From Apr. 16 2005,Auerswald,17,0.0
From Apr. 16 2005,EMS Thomas Wuensche,17,0.0
From Apr. 16 2005,Sunplus Core Tech.,17,0.0
From Apr. 16 2005,TekSavvy Solutions Inc.,17,0.0
From Apr. 16 2005,ATTO,17,0.0
From Apr. 16 2005,8D Technologies,16,0.0
From Apr. 16 2005,Promwad Innovation,16,0.0
From Apr. 16 2005,Ascom,16,0.0
From Apr. 16 2005,Thinktube Inc.,16,0.0
From Apr. 16 2005,GRAMMER EiA ELECTRONICS,16,0.0
From Apr. 16 2005,Logitech,16,0.0
From Apr. 16 2005,Sphere Systems,16,0.0
From Apr. 16 2005,AdFin,16,0.0
From Apr. 16 2005,Edinburgh Robotics,15,0.0
From Apr. 16 2005,Mobile Devices Ingenierie,15,0.0
From Apr. 16 2005,DEKA,15,0.0
From Apr. 16 2005,"RGM Advisors, LLC.",15,0.0
From Apr. 16 2005,Xyne,15,0.0
From Apr. 16 2005,Vivecode,14,0.0
From Apr. 16 2005,ATRON electronic,14,0.0
From Apr. 16 2005,Kontron Embedded Modules,14,0.0
From Apr. 16 2005,secunet SwissIT AG,14,0.0
From Apr. 16 2005,E.G.O. GmbH,14,0.0
From Apr. 16 2005,Mikrotik,14,0.0
From Apr. 16 2005,TQ-Systems,14,0.0
From Apr. 16 2005,RTS Realtime Systems,14,0.0
From Apr. 16 2005,Ralink,14,0.0
From Apr. 16 2005,Emutex Ltd,14,0.0
From Apr. 16 2005,XIV Information Systems,13,0.0
From Apr. 16 2005,HighPoint Technologies,13,0.0
From Apr. 16 2005,SICE S.A. - ACS Dragados,13,0.0
From Apr. 16 2005,Conexant Systems,13,0.0
From Apr. 16 2005,Weinmann Medical Technology,13,0.0
From Apr. 16 2005,"Micrel, Inc.",13,0.0
From Apr. 16 2005,Elbrys Networks,13,0.0
From Apr. 16 2005,Kyoto Microcomputer,13,0.0
From Apr. 16 2005,SnapTV,12,0.0
From Apr. 16 2005,Digigram SA,12,0.0
From Apr. 16 2005,Nortel,12,0.0
From Apr. 16 2005,LiPPERT Embedded Computers GmbH,12,0.0
From Apr. 16 2005,System Fabric Works,12,0.0
From Apr. 16 2005,MPC Data,12,0.0
From Apr. 16 2005,EADS,12,0.0
From Apr. 16 2005,Sentelic,12,0.0
From Apr. 16 2005,Sophos,12,0.0
From Apr. 16 2005,Logic PD,12,0.0
From Apr. 16 2005,Polytechnique Montreal,12,0.0
From Apr. 16 2005,RapidRollout,12,0.0
From Apr. 16 2005,Ravello Systems,12,0.0
From Apr. 16 2005,University of Cambridge,11,0.0
From Apr. 16 2005,Winbond Electronics,11,0.0
From Apr. 16 2005,Frequentis,11,0.0
From Apr. 16 2005,Tresys,11,0.0
From Apr. 16 2005,DSA,11,0.0
From Apr. 16 2005,NTT Data,11,0.0
From Apr. 16 2005,Ambarella,11,0.0
From Apr. 16 2005,Raumfeld GmbH,11,0.0
From Apr. 16 2005,Eck­el­mann,11,0.0
From Apr. 16 2005,Newflow,11,0.0
From Apr. 16 2005,TomTom,10,0.0
From Apr. 16 2005,Sirrix,10,0.0
From Apr. 16 2005,Beijing Rising Technology Co.,10,0.0
From Apr. 16 2005,Rogers,10,0.0
From Apr. 16 2005,REA Systems GmbH,10,0.0
From Apr. 16 2005,Telecom-Service,10,0.0
From Apr. 16 2005,Avtrex,10,0.0
From Apr. 16 2005,Adeneo,10,0.0
From Apr. 16 2005,ELPA,10,0.0
From Apr. 16 2005,Lyrtech,10,0.0
From Apr. 16 2005,Telemotive AG,10,0.0
From Apr. 16 2005,Anevia,9,0.0
From Apr. 16 2005,Develer S.r.l.,9,0.0
From Apr. 16 2005,TUSC,9,0.0
From Apr. 16 2005,GeoTechnologies,9,0.0
From Apr. 16 2005,Trinnov Audio,9,0.0
From Apr. 16 2005,Raritan,9,0.0
From Apr. 16 2005,Guntermann & Drunck GmbH,9,0.0
From Apr. 16 2005,Azingo,9,0.0
From Apr. 16 2005,Twin Sun,9,0.0
From Apr. 16 2005,Harris Corporation,9,0.0
From Apr. 16 2005,miromico,9,0.0
From Apr. 16 2005,SES ASTRA TechCom,9,0.0
From Apr. 16 2005,MessageNet Systems,9,0.0
From Apr. 16 2005,Codefidence,9,0.0
From Apr. 16 2005,Racelogic,9,0.0
From Apr. 16 2005,ScaleMP,9,0.0
From Apr. 16 2005,Three-Speed Logic,9,0.0
From Apr. 16 2005,Phoenix,8,0.0
From Apr. 16 2005,ANDURAS,8,0.0
From Apr. 16 2005,ZING Systems,8,0.0
From Apr. 16 2005,HV Sistemas,8,0.0
From Apr. 16 2005,Mediama Technologies,8,0.0
From Apr. 16 2005,American Megatrends,8,0.0
From Apr. 16 2005,Z RESEARCH,8,0.0
From Apr. 16 2005,picoChip Designs Ltd.,8,0.0
From Apr. 16 2005,Software Systems,8,0.0
From Apr. 16 2005,OpenSource AB,8,0.0
From Apr. 16 2005,Soma Networks,7,0.0
From Apr. 16 2005,UHU-Linux,7,0.0
From Apr. 16 2005,ExactCODE,7,0.0
From Apr. 16 2005,ITO,7,0.0
From Apr. 16 2005,IRAM,7,0.0
From Apr. 16 2005,NASA,7,0.0
From Apr. 16 2005,Innominate,7,0.0
From Apr. 16 2005,Rajant,7,0.0
From Apr. 16 2005,EQWARE Engineering,7,0.0
From Apr. 16 2005,"InHand Electronics, Inc.",7,0.0
From Apr. 16 2005,Mercury IMC,7,0.0
From Apr. 16 2005,Microbit,7,0.0
From Apr. 16 2005,"TES, s.r.o.",7,0.0
From Apr. 16 2005,Octasic,7,0.0
From Apr. 16 2005,Jotron,7,0.0
From Apr. 16 2005,PenMount Touch Solutions,7,0.0
